,City,Cloudiness,Country,Date,Humidity,Temp,Lat,Lng,Wind Speed
0,tawau,75,MY,1533517200,88,78.8,4.26,117.89,3.27
1,mavrovi anovi,0,MK,1533520800,87,57.2,41.7,20.76,3.36
2,vestmanna,92,FO,1533520200,100,51.8,62.16,-7.17,6.93
3,koutiala,68,ML,1533522611,94,72.39,12.39,-5.46,2.93
4,mahebourg,20,MU,1533520800,64,68.0,-20.41,57.7,9.17
5,busselton,88,AU,1533521930,100,60.42,-33.64,115.35,13.0
6,yellowknife,90,CA,1533520800,87,59.0,62.45,-114.38,5.82
7,guerrero negro,0,MX,1533522296,70,76.53,27.97,-114.04,10.65
8,tasiilaq,8,GL,1533522161,97,44.49,65.61,-37.64,0.58
9,broome,0,GB,1533520560,87,64.4,52.47,1.45,3.36
10,barrow,12,AR,1533521918,52,49.89,-38.31,-60.23,11.65
11,butembo,8,CD,1533522613,98,57.54,0.12,29.29,1.7
12,bukama,0,CD,1533522614,66,57.81,-9.2,25.85,2.71
13,torbay,90,CA,1533520800,100,53.6,47.66,-52.73,16.11
14,souillac,0,FR,1533519000,68,73.4,45.6,-0.6,2.15
15,ushuaia,0,AR,1533517200,100,32.0,-54.81,-68.31,5.82
16,beloha,0,MG,1533522615,77,47.82,-25.17,45.06,3.15
17,cape town,20,ZA,1533520800,87,51.8,-33.93,18.42,13.87
18,tuktoyaktuk,90,CA,1533520800,100,44.6,69.44,-133.03,8.05
19,hithadhoo,12,MV,1533522146,100,79.95,-0.6,73.08,9.42
20,clyde river,90,CA,1533520800,93,37.4,70.47,-68.59,11.41
21,conroe,1,US,1533520500,83,86.0,30.31,-95.46,4.7
22,esperance,20,TT,1533520800,74,80.6,10.24,-61.45,4.72
23,jamestown,80,AU,1533522166,94,46.56,-33.21,138.6,18.81
24,rikitea,0,PF,1533522145,95,75.99,-23.12,-134.97,17.81
25,horsham,36,AU,1533522437,93,50.34,-36.71,142.2,19.82
26,norman wells,90,CA,1533520800,64,68.0,65.28,-126.83,6.93
27,victoria,75,BN,1533519000,100,80.6,5.28,115.24,14.0
28,new norfolk,75,AU,1533519000,76,51.8,-42.78,147.06,8.05
29,susanville,1,US,1533520500,20,78.8,40.42,-120.65,6.93
30,hermanus,48,ZA,1533521918,82,49.62,-34.42,19.24,9.75
31,bethel,90,US,1533520980,100,55.4,60.79,-161.76,17.22
32,tiksi,0,RU,1533522155,73,53.31,71.64,128.87,10.98
33,cidreira,0,BR,1533522187,93,50.25,-30.17,-50.22,8.41
34,pacific grove,1,US,1533520500,63,86.0,36.62,-121.92,6.93
35,fortuna,20,ES,1533519000,42,86.0,38.18,-1.13,5.82
36,narsaq,0,GL,1533520200,75,46.4,60.91,-46.05,3.36
37,punta arenas,90,CL,1533517200,100,32.0,-53.16,-70.91,8.05
38,kodiak,44,US,1533522145,35,90.21,39.95,-94.76,13.67
39,buchanan,75,LR,1533520800,94,73.4,5.88,-10.05,4.94
40,nemuro,75,JP,1533520800,82,59.0,43.32,145.57,5.82
41,coihaique,20,CL,1533517200,81,44.6,-45.58,-72.07,3.36
42,hasaki,75,JP,1533519900,88,82.4,35.73,140.83,10.29
43,mataura,24,NZ,1533522140,84,50.7,-46.19,168.86,4.38
44,bluff,64,AU,1533522140,52,75.72,-23.58,149.07,10.09
